customer_id,total_orders,avg_order_value,total_spending,ordering_frequency,avg_rating_given,weekend_orders,late_night_orders,cluster,cluster_name,dbscan_cluster
10001,15,522.8486666666666,7842.73,1.25,3.8,9.0,5.0,1,Frequent High-Value Customers,-1
10002,11,730.3690909090909,8034.0599999999995,0.9166666666666666,3.625,5.0,4.0,1,Frequent High-Value Customers,0
10003,5,675.226,3376.13,0.4166666666666667,4.666666666666667,1.0,0.0,0,Occasional Moderate-Value Customers,0
10004,13,622.0115384615384,8086.15,1.0833333333333333,3.5454545454545454,5.0,4.0,1,Frequent High-Value Customers,0
10005,11,506.16636363636366,5567.83,0.9166666666666666,3.1,3.0,5.0,1,Frequent High-Value Customers,0
10006,9,756.12,6805.08,0.75,3.111111111111111,3.0,1.0,0,Occasional Moderate-Value Customers,0
10007,7,931.1371428571429,6517.96,0.5833333333333334,3.7142857142857144,0.0,0.0,0,Occasional Moderate-Value Customers,0
10008,9,576.2,5185.8,0.75,3.857142857142857,5.0,1.0,0,Occasional Moderate-Value Customers,0
10009,4,650.83,2603.32,0.3333333333333333,4.5,1.0,2.0,0,Occasional Moderate-Value Customers,0
10010,9,1026.3266666666668,9236.94,0.75,4.375,1.0,1.0,0,Occasional Moderate-Value Customers,0
10011,7,672.6428571428571,4708.5,0.5833333333333334,3.5,2.0,6.0,0,Occasional Moderate-Value Customers,-1
10012,11,612.92,6742.12,0.9166666666666666,4.375,3.0,4.0,1,Frequent High-Value Customers,0
10013,7,580.14,4060.98,0.5833333333333334,4.333333333333333,1.0,0.0,0,Occasional Moderate-Value Customers,0
10014,14,680.0142857142857,9520.2,1.1666666666666667,4.545454545454546,4.0,5.0,1,Frequent High-Value Customers,0
10015,10,787.6229999999999,7876.23,0.8333333333333334,4.6,4.0,2.0,1,Frequent High-Value Customers,0
10016,9,610.0444444444444,5490.4,0.75,4.125,1.0,4.0,0,Occasional Moderate-Value Customers,0
10017,10,601.615,6016.15,0.8333333333333334,3.6666666666666665,3.0,2.0,0,Occasional Moderate-Value Customers,0
10018,8,754.3125,6034.5,0.6666666666666666,2.857142857142857,1.0,4.0,0,Occasional Moderate-Value Customers,-1
10019,7,530.8014285714286,3715.6099999999997,0.5833333333333334,4.2,2.0,1.0,0,Occasional Moderate-Value Customers,0
10020,16,606.173125,9698.77,1.3333333333333333,3.933333333333333,5.0,5.0,1,Frequent High-Value Customers,0
10021,11,731.1,8042.1,0.9166666666666666,4.181818181818182,2.0,1.0,0,Occasional Moderate-Value Customers,0
10022,12,1013.9508333333333,12167.41,1.0,4.090909090909091,3.0,5.0,1,Frequent High-Value Customers,0
10023,7,692.5114285714286,4847.58,0.5833333333333334,3.4285714285714284,0.0,2.0,0,Occasional Moderate-Value Customers,0
10024,6,657.1933333333333,3943.16,0.5,4.333333333333333,2.0,2.0,0,Occasional Moderate-Value Customers,0
10025,17,658.7235294117646,11198.3,1.4166666666666667,3.5294117647058822,6.0,6.0,1,Frequent High-Value Customers,0
10026,11,855.3163636363636,9408.48,0.9166666666666666,4.0,4.0,5.0,1,Frequent High-Value Customers,0
10027,12,462.25083333333333,5547.01,1.0,3.75,6.0,3.0,1,Frequent High-Value Customers,0
10028,8,467.19125,3737.53,0.6666666666666666,3.5714285714285716,3.0,3.0,0,Occasional Moderate-Value Customers,0
10029,10,788.403,7884.03,0.8333333333333334,4.125,3.0,2.0,1,Frequent High-Value Customers,0
10030,12,703.5083333333333,8442.1,1.0,4.454545454545454,5.0,5.0,1,Frequent High-Value Customers,0
10031,12,826.0808333333333,9912.97,1.0,4.222222222222222,3.0,4.0,1,Frequent High-Value Customers,0
10032,11,649.44,7143.84,0.9166666666666666,4.090909090909091,4.0,3.0,1,Frequent High-Value Customers,0
