customer_id,age,gender,city,signup_date,customer_segment,avg_monthly_orders,preferred_cuisine,avg_order_value,payment_preference
10001,56,Female,Pune,2026-02-08,New,2.23,Desserts,261.32,UPI
10002,46,Other,Delhi,2026-06-11,Regular,4.15,Biryani,449.48,UPI
10003,32,Female,Chennai,2024-07-14,Regular,7.77,Burgers,386.41,Credit Card
10004,60,Male,Bangalore,2024-05-24,Regular,9.71,Desserts,474.21,Wallet
10005,25,Female,Hyderabad,2026-01-01,Regular,5.41,South Indian,477.06,Cash
10006,38,Male,Pune,2024-12-15,Regular,8.67,Desserts,603.35,Wallet
10007,56,Male,Chennai,2025-02-27,Regular,5.76,Biryani,305.58,UPI
10008,36,Female,Delhi,2025-04-15,Regular,8.25,South Indian,287.22,Credit Card
10009,40,Female,Hyderabad,2025-11-16,Regular,8.2,Chinese,430.85,UPI
10010,28,Female,Delhi,2024-08-03,Regular,5.11,South Indian,649.38,UPI
10011,28,Male,Hyderabad,2024-04-02,Regular,7.58,Desserts,634.87,Credit Card
10012,41,Female,Pune,2024-09-16,Regular,9.16,Indian,502.0,UPI
10013,53,Male,Delhi,2026-07-22,New,1.12,Chinese,356.24,UPI
10014,57,Other,Chennai,2025-07-28,Regular,8.26,Indian,612.4,UPI
10015,41,Other,Chennai,2025-06-24,Regular,8.05,Pizza,375.07,Cash
10016,20,Female,Bangalore,2026-02-25,Regular,5.55,Indian,326.55,Debit Card
10017,39,Female,Hyderabad,2026-05-08,Regular,9.51,Pizza,385.52,UPI
10018,19,Female,Bangalore,2024-10-11,New,1.21,Indian,303.89,Wallet
10019,41,Female,Mumbai,2025-04-28,Regular,6.13,Desserts,530.22,Wallet
10020,61,Male,Chennai,2026-07-19,Regular,4.99,Desserts,513.2,Wallet
10021,47,Male,Hyderabad,2025-01-06,VIP,18.76,Pizza,1316.94,Debit Card
10022,55,Female,Pune,2024-03-10,Regular,8.38,Pizza,335.19,UPI
10023,19,Female,Bangalore,2025-01-13,New,2.68,Chinese,157.07,UPI
10024,38,Male,Pune,2024-10-05,Regular,8.36,Desserts,445.13,Credit Card
10025,50,Female,Pune,2026-01-12,Regular,8.75,Burgers,462.6,Wallet
10026,29,Male,Pune,2024-10-28,Regular,6.65,Burgers,698.63,Debit Card
10027,39,Female,Bangalore,2024-09-11,Regular,7.12,Chinese,377.02,UPI
10028,61,Female,Mumbai,2025-11-14,Regular,9.92,Pizza,427.36,Credit Card
10029,42,Female,Bangalore,2025-11-22,Regular,9.81,Burgers,554.41,Credit Card
10030,44,Female,Delhi,2024-09-20,New,2.29,Burgers,248.24,Wallet
10031,59,Male,Chennai,2025-11-25,Regular,8.11,Indian,307.05,UPI
10032,45,Male,Bangalore,2026-04-13,VIP,11.2,South Indian,610.29,Debit Card
10033,33,Female,Bangalore,2025-12-17,VIP,8.18,Chinese,858.93,UPI
10034,32,Female,Mumbai,2025-02-27,Regular,8.61,South Indian,440.32,UPI
10035,64,Male,Delhi,2026-01-30,VIP,14.09,Pizza,1339.65,Debit Card
10036,61,Female,Bangalore,2024-07-31,Regular,5.06,Indian,554.98,UPI
10037,20,Male,Chennai,2025-11-01,Regular,8.55,Burgers,360.73,Debit Card
10038,54,Female,Chennai,2024-04-09,Regular,9.49,Biryani,422.93,UPI
10039,24,Female,Bangalore,2026-04-08,New,3.94,Indian,262.04,Cash
10040,38,Male,Pune,2024-04-21,Regular,7.58,Chinese,515.65,Wallet
10041,26,Male,Pune,2024-11-03,Regular,6.88,Desserts,292.74,UPI
10042,56,Female,Delhi,2025-11-08,Regular,4.85,Pizza,398.36,Debit Card
10043,35,Female,Chennai,2025-04-19,Regular,8.76,Indian,532.27,UPI
10044,21,Female,Pune,2025-07-01,Regular,9.67,Indian,466.67,Debit Card
10045,42,Female,Chennai,2024-04-21,Regular,9.34,Indian,547.15,UPI
10046,31,Female,Delhi,2024-03-27,New,1.78,Burgers,206.69,UPI
10047,26,Other,Delhi,2024-07-01,Regular,4.03,Pizza,466.28,Cash
10048,43,Female,Pune,2025-08-19,Regular,6.45,Burgers,694.13,UPI
10049,19,Female,Bangalore,2026-02-19,New,3.17,Indian,211.12,Credit Card
10050,37,Male,Hyderabad,2024-06-13,Regular,9.37,Desserts,276.96,UPI
10051,45,Male,Mumbai,2026-03-25,Regular,4.39,Burgers,369.89,Debit Card
10052,64,Female,Hyderabad,2024-03-30,Regular,7.19,Burgers,385.24,UPI
10053,24,Male,Hyderabad,2025-03-30,VIP,14.25,Chinese,1434.49,UPI
10054,61,Female,Chennai,2024-08-25,Regular,7.97,South Indian,390.41,UPI
10055,25,Female,Delhi,2025-06-17,Regular,8.75,South Indian,441.17,UPI
10056,64,Female,Chennai,2025-11-09,Regular,7.85,Chinese,273.2,Wallet
10057,52,Male,Pune,2025-12-27,New,1.82,Chinese,297.41,Wallet
10058,31,Male,Mumbai,2024-02-27,New,1.7,Biryani,281.59,Wallet
10059,34,Male,Pune,2025-06-25,New,1.31,Burgers,183.14,UPI
10060,53,Male,Bangalore,2026-07-02,New,1.15,Biryani,199.27,UPI
10061,57,Male,Mumbai,2025-09-09,New,3.58,Burgers,185.45,Credit Card
10062,21,Female,Chennai,2025-02-05,New,1.15,Pizza,323.32,Cash
10063,19,Female,Chennai,2026-04-21,New,1.27,South Indian,282.15,Credit Card
10064,23,Female,Pune,2025-11-09,Regular,6.31,Burgers,666.72,UPI
10065,59,Female,Chennai,2026-05-11,VIP,9.3,Pizza,703.09,Wallet
10066,21,Male,Chennai,2025-10-27,VIP,17.34,Desserts,1444.66,UPI
10067,46,Female,Hyderabad,2026-04-18,New,1.58,Biryani,292.03,Wallet
10068,35,Female,Bangalore,2025-06-02,Regular,9.95,South Indian,622.06,Cash
10069,43,Male,Hyderabad,2024-07-15,VIP,19.09,Pizza,669.07,Cash
10070,61,Female,Chennai,2026-04-12,New,2.0,Pizza,323.8,UPI
10071,51,Male,Delhi,2024-02-15,Regular,8.28,Chinese,271.27,Credit Card
10072,27,Female,Hyderabad,2025-06-13,Regular,8.95,Indian,358.5,Credit Card
10073,53,Other,Chennai,2025-01-31,VIP,15.35,Indian,627.87,UPI
10074,31,Male,Chennai,2025-10-26,VIP,9.92,Indian,1395.65,Credit Card
10075,48,Female,Bangalore,2026-02-14,Regular,5.88,Pizza,678.0,Credit Card
10076,32,Female,Pune,2024-03-14,Regular,9.04,Burgers,442.62,UPI
10077,25,Other,Mumbai,2025-02-19,New,3.51,Biryani,386.08,UPI
10078,31,Male,Hyderabad,2025-10-18,New,2.72,Indian,378.64,UPI
10079,40,Female,Hyderabad,2025-09-05,Regular,4.71,Burgers,507.03,Cash
10080,57,Male,Hyderabad,2024-11-30,New,1.62,Desserts,241.64,Wallet
10081,38,Male,Chennai,2026-04-26,New,2.4,Desserts,366.5,Debit Card
10082,33,Male,Bangalore,2025-09-24,Regular,4.6,South Indian,448.71,UPI
10083,62,Other,Chennai,2025-11-18,VIP,11.52,Biryani,523.02,Credit Card
10084,35,Female,Chennai,2025-07-28,New,2.99,Biryani,309.87,UPI
10085,64,Female,Pune,2024-10-22,New,2.52,Indian,160.66,Debit Card
10086,41,Female,Delhi,2024-03-24,Regular,6.03,Pizza,625.14,Credit Card
10087,43,Male,Bangalore,2024-01-15,Regular,4.2,Chinese,638.55,Wallet
10088,42,Male,Hyderabad,2026-05-16,New,3.95,Desserts,223.8,UPI
10089,62,Male,Mumbai,2024-05-13,VIP,18.22,Pizza,1101.85,UPI
10090,58,Male,Hyderabad,2025-04-22,Regular,6.59,Biryani,263.32,Wallet
10091,46,Male,Chennai,2025-09-24,Regular,5.27,Desserts,692.26,Wallet
10092,32,Male,Bangalore,2024-11-14,New,1.81,Burgers,396.91,Credit Card
10093,62,Male,Bangalore,2025-01-26,Regular,6.83,Desserts,415.19,UPI
10094,18,Male,Bangalore,2025-04-23,Regular,5.41,South Indian,373.72,Credit Card
10095,42,Male,Delhi,2025-10-01,New,1.9,Biryani,359.04,Credit Card
10096,24,Male,Hyderabad,2025-01-02,Regular,9.0,Pizza,367.57,Wallet
10097,26,Other,Delhi,2025-01-01,New,2.44,Biryani,251.68,Debit Card
10098,41,Female,Pune,2024-10-14,VIP,12.77,Chinese,594.84,UPI
10099,18,Other,Mumbai,2026-03-23,New,2.26,Desserts,314.41,Debit Card
10100,61,Male,Pune,2025-01-12,VIP,12.54,Chinese,1146.99,UPI
10101,25,Male,Chennai,2025-11-22,Regular,5.53,South Indian,568.11,UPI
10102,41,Female,Delhi,2025-04-07,Regular,7.7,Indian,453.93,UPI
10103,28,Male,Delhi,2025-08-16,Regular,7.02,Pizza,615.09,UPI
10104,34,Male,Pune,2024-01-13,New,1.87,Biryani,270.11,Wallet
10105,25,Male,Chennai,2025-06-19,Regular,6.51,Pizza,682.7,Credit Card
10106,52,Male,Bangalore,2024-06-16,Regular,9.13,Chinese,294.55,Credit Card
10107,52,Male,Chennai,2024-09-26,New,2.35,Burgers,157.69,Credit Card
10108,50,Male,Hyderabad,2024-03-10,Regular,8.25,Pizza,351.29,Cash
10109,22,Female,Pune,2024-11-13,New,3.77,Desserts,357.11,Wallet
10110,59,Male,Chennai,2025-01-10,Regular,9.98,Chinese,405.46,Wallet
10111,56,Male,Bangalore,2024-03-29,Regular,8.39,Burgers,553.81,UPI
10112,58,Female,Chennai,2025-12-01,New,2.91,Indian,303.12,UPI
10113,45,Male,Delhi,2024-09-13,Regular,5.79,Desserts,299.1,Credit Card
10114,24,Male,Mumbai,2024-08-04,Regular,5.85,Indian,602.27,UPI
10115,26,Female,Delhi,2025-03-25,Regular,4.59,Chinese,447.84,UPI
10116,25,Male,Mumbai,2026-06-12,Regular,4.32,Desserts,251.0,UPI
10117,29,Male,Chennai,2025-06-27,New,2.08,Chinese,264.9,UPI
10118,51,Female,Hyderabad,2024-05-20,VIP,9.28,Indian,525.19,Debit Card
10119,50,Male,Chennai,2024-06-09,Regular,4.22,Chinese,280.99,Credit Card
10120,40,Female,Bangalore,2024-02-01,New,3.61,Desserts,268.67,Debit Card
10121,41,Female,Chennai,2026-04-03,Regular,6.23,South Indian,697.11,Credit Card
10122,54,Male,Mumbai,2024-05-31,New,1.92,Pizza,284.97,UPI
10123,52,Female,Delhi,2026-05-08,New,1.31,South Indian,212.1,Credit Card
10124,61,Female,Hyderabad,2024-09-16,Regular,7.38,Burgers,511.14,Cash
10125,57,Male,Chennai,2025-12-28,VIP,12.9,Chinese,1340.95,UPI
10126,39,Female,Chennai,2024-10-05,VIP,16.89,Chinese,827.55,Credit Card
10127,44,Male,Delhi,2024-10-11,Regular,8.45,Desserts,461.74,UPI
10128,52,Female,Hyderabad,2025-09-01,Regular,9.29,Burgers,271.67,UPI
10129,18,Male,Pune,2026-07-05,Regular,5.12,Desserts,391.94,UPI
10130,52,Male,Chennai,2025-06-25,Regular,9.96,Pizza,306.48,Credit Card
10131,54,Male,Chennai,2025-08-24,New,3.1,Indian,390.48,Credit Card
10132,64,Female,Pune,2024-05-27,VIP,14.82,South Indian,1221.85,UPI
10133,31,Male,Mumbai,2025-10-17,New,2.18,Pizza,257.21,Credit Card
10134,20,Male,Mumbai,2024-03-07,Regular,7.75,Indian,674.91,UPI
10135,18,Male,Bangalore,2026-05-18,VIP,18.79,Indian,1417.73,UPI
10136,22,Female,Delhi,2025-07-23,Regular,5.17,Chinese,256.86,UPI
10137,43,Female,Hyderabad,2026-07-28,New,1.77,Burgers,277.47,Wallet
10138,31,Female,Chennai,2026-03-03,New,1.12,Biryani,319.43,UPI
10139,56,Female,Chennai,2024-10-05,Regular,8.83,Chinese,639.53,UPI
10140,44,Female,Bangalore,2026-01-17,Regular,8.1,Desserts,616.18,UPI
10141,26,Male,Chennai,2025-03-18,Regular,7.14,Biryani,440.65,Credit Card
10142,32,Female,Delhi,2026-06-15,Regular,7.9,Burgers,462.97,Debit Card
10143,32,Female,Bangalore,2026-05-14,VIP,9.74,Chinese,1415.08,Debit Card
10144,43,Other,Delhi,2025-02-02,New,3.34,South Indian,302.12,Debit Card
10145,59,Female,Bangalore,2024-05-07,Regular,8.62,Chinese,691.53,UPI
10146,30,Male,Chennai,2024-12-02,Regular,4.95,South Indian,649.98,Wallet
10147,49,Male,Bangalore,2025-04-26,New,2.77,Biryani,165.98,UPI
10148,56,Female,Mumbai,2025-12-21,New,1.72,Pizza,193.97,UPI
10149,49,Female,Hyderabad,2024-07-04,VIP,17.55,Pizza,1424.24,Debit Card
10150,21,Female,Chennai,2024-06-17,VIP,15.51,Biryani,1403.5,Credit Card
10151,47,Female,Pune,2025-11-14,New,1.94,Biryani,235.93,UPI
10152,54,Female,Hyderabad,2024-09-16,VIP,14.57,Chinese,614.36,Cash
10153,40,Male,Chennai,2025-12-17,New,2.96,Pizza,206.42,Credit Card
10154,56,Female,Hyderabad,2025-10-08,Regular,4.78,Indian,586.58,Credit Card
10155,62,Male,Mumbai,2025-07-11,New,1.87,South Indian,300.88,UPI
10156,32,Male,Hyderabad,2025-05-21,VIP,12.62,Biryani,623.24,UPI
