driver_id,driver_age,vehicle_type,experience_years,rating,city,total_completed_deliveries,avg_delivery_time_min,acceptance_rate,active_hours_per_week
30001,47,Bike,3.2,4.22,Hyderabad,2141,28.06,0.86,52.3
30002,44,Scooter,8.2,4.16,Chennai,4638,42.3,0.89,17.8
30003,47,Bike,8.5,5.0,Bangalore,5072,40.64,0.9,37.4
30004,51,Bike,8.2,4.55,Mumbai,2768,37.81,0.86,31.2
30005,35,Bike,6.6,4.25,Chennai,3068,47.78,0.87,27.4
30006,44,Bike,3.4,3.19,Delhi,1106,21.77,0.77,49.2
30007,37,Bike,6.5,4.15,Mumbai,3660,31.72,0.74,54.6
30008,54,Bike,9.6,4.85,Delhi,4759,25.51,0.88,23.8
30009,21,Bike,6.7,4.23,Delhi,3219,48.04,0.82,18.5
30010,40,Bike,9.6,4.49,Hyderabad,6347,43.92,0.87,31.9
30011,26,Bike,3.4,4.34,Pune,2026,36.57,0.85,34.8
30012,25,Scooter,8.5,4.03,Delhi,5828,36.51,0.79,17.4
30013,49,Bike,7.3,4.79,Chennai,2325,27.09,0.8,36.2
30014,26,Bike,8.3,4.27,Chennai,4534,36.28,0.71,57.8
30015,53,Bike,7.3,3.95,Chennai,4030,26.61,0.84,32.4
30016,49,Scooter,5.1,4.21,Pune,1584,47.13,0.77,55.5
30017,30,Bike,7.0,4.7,Bangalore,4303,39.66,0.89,53.2
30018,52,Car,9.4,3.68,Pune,3397,44.21,0.84,34.6
30019,45,Bike,4.5,4.29,Hyderabad,2612,27.18,0.88,46.8
30020,48,Bike,9.5,4.23,Pune,2993,37.13,0.87,24.4
30021,49,Bike,1.0,3.66,Hyderabad,545,26.84,0.9,21.1
30022,52,Bike,0.6,4.47,Chennai,304,30.0,0.9,15.1
30023,27,Scooter,5.2,4.29,Bangalore,2565,44.89,0.82,18.3
30024,30,Bike,8.6,4.51,Pune,3841,34.03,0.9,43.3
30025,54,Scooter,2.9,4.6,Delhi,1357,31.97,0.93,54.8
30026,53,Scooter,7.1,4.18,Delhi,3484,38.03,0.83,59.0
30027,46,Scooter,5.7,4.01,Delhi,2388,48.51,0.91,36.7
30028,33,Scooter,3.3,3.7,Hyderabad,2224,38.75,0.87,21.3
30029,50,Scooter,3.2,3.97,Delhi,2195,40.73,0.9,15.0
30030,52,Bike,1.2,4.2,Bangalore,503,33.54,0.9,59.3
30031,53,Bike,5.6,3.86,Bangalore,3424,33.9,0.94,51.8
30032,26,Bike,4.8,4.4,Pune,2883,20.0,0.71,38.6
30033,22,Bike,3.2,3.88,Pune,2080,24.05,0.91,26.1
30034,27,Bike,9.7,3.58,Delhi,2924,48.09,0.9,38.3
30035,50,Scooter,8.3,4.0,Hyderabad,3612,38.68,0.96,52.7
30036,46,Scooter,5.5,4.26,Mumbai,1968,39.8,0.88,40.0
30037,45,Bike,5.5,3.76,Chennai,2509,32.22,0.91,59.8
30038,53,Bike,2.3,3.89,Delhi,1219,35.52,0.84,19.8
