payment_id,order_id,payment_method,transaction_amount,payment_status,transaction_timestamp,refund_amount
70001,50001,Credit Card,861.46,Success,2026-06-17 02:51:21,0.0
70002,50002,Credit Card,193.86,Refunded,2025-09-04 11:49:40,193.86
70003,50003,Debit Card,1072.96,Success,2026-03-11 07:37:32,0.0
70004,50004,Debit Card,243.78,Success,2026-04-04 18:38:48,0.0
70005,50005,UPI,1552.74,Success,2025-12-17 21:47:43,0.0
70006,50006,Credit Card,309.51,Success,2025-10-09 12:46:05,0.0
70007,50007,Wallet,233.8,Success,2025-10-03 04:52:52,0.0
70008,50008,Credit Card,962.35,Success,2025-12-14 21:50:35,0.0
70009,50009,UPI,517.11,Success,2025-12-02 08:24:23,0.0
70010,50010,Wallet,960.28,Success,2025-10-05 07:48:28,0.0
70011,50011,Credit Card,636.21,Success,2026-02-25 12:34:07,0.0
70012,50012,Credit Card,1556.93,Success,2026-06-15 12:55:51,0.0
70013,50013,Debit Card,517.89,Success,2026-01-25 08:54:51,0.0
70014,50014,Debit Card,494.35,Success,2025-12-07 05:16:11,0.0
70015,50015,UPI,242.33,Success,2025-12-22 01:14:25,0.0
70016,50016,Credit Card,889.24,Success,2026-05-08 15:33:10,0.0
70017,50017,UPI,621.56,Success,2025-11-25 17:29:57,0.0
70018,50018,Credit Card,747.02,Success,2026-05-01 09:08:06,0.0
70019,50019,Credit Card,898.82,Success,2026-04-21 06:52:37,0.0
70020,50020,UPI,186.89,Success,2026-05-04 09:24:15,0.0
70021,50021,UPI,1785.77,Success,2025-11-13 11:49:05,0.0
70022,50022,Debit Card,1242.78,Success,2025-12-07 12:53:04,0.0
70023,50023,UPI,1046.09,Success,2025-09-08 13:48:09,0.0
70024,50024,UPI,1365.89,Success,2026-07-17 13:46:41,0.0
70025,50025,UPI,471.27,Success,2025-11-12 01:31:20,0.0
70026,50026,Debit Card,237.95,Success,2025-12-28 18:45:14,0.0
70027,50027,Credit Card,1582.8,Success,2026-01-17 01:05:52,0.0
70028,50028,UPI,897.29,Success,2026-05-08 12:35:58,0.0
70029,50029,Debit Card,802.22,Success,2026-07-25 02:23:07,0.0
70030,50030,Wallet,1022.73,Refunded,2025-08-19 16:58:00,1022.73
70031,50031,UPI,1212.72,Success,2025-10-28 18:37:38,0.0
70032,50032,Debit Card,1866.61,Success,2026-07-22 16:19:01,0.0
70033,50033,Credit Card,623.03,Success,2026-06-21 07:33:19,0.0
70034,50034,UPI,971.73,Success,2026-07-07 09:05:01,0.0
70035,50035,Credit Card,757.31,Success,2026-05-31 11:23:46,0.0
70036,50036,Wallet,1051.54,Success,2025-09-20 20:25:09,0.0
70037,50037,Credit Card,416.26,Success,2025-11-09 18:23:21,0.0
70038,50038,UPI,1130.6,Success,2025-09-17 02:27:05,0.0
70039,50039,Debit Card,652.1,Success,2025-10-04 22:05:43,0.0
70040,50040,UPI,756.81,Success,2025-11-14 22:18:17,0.0
70041,50041,UPI,590.33,Success,2026-06-08 05:04:14,0.0
70042,50042,Credit Card,527.98,Success,2025-11-18 11:00:31,0.0
70043,50043,UPI,360.95,Success,2025-12-12 09:46:14,0.0
70044,50044,UPI,517.07,Success,2026-04-11 20:16:51,0.0
70045,50045,Debit Card,860.74,Success,2026-06-09 17:50:22,0.0
70046,50046,Debit Card,722.9,Refunded,2025-10-25 19:54:52,722.9
70047,50047,UPI,917.04,Success,2025-08-11 17:31:10,0.0
70048,50048,Credit Card,1098.95,Success,2025-12-10 11:47:14,0.0
70049,50049,UPI,824.45,Success,2025-12-14 01:26:10,0.0
70050,50050,Cash,599.94,Success,2025-12-05 11:17:33,0.0
70051,50051,Debit Card,757.88,Success,2026-02-05 02:41:39,0.0
70052,50052,Debit Card,359.27,Success,2025-12-04 01:12:02,0.0
70053,50053,UPI,296.93,Success,2025-10-30 03:17:24,0.0
70054,50054,UPI,259.05,Success,2026-04-16 02:41:21,0.0
70055,50055,UPI,938.3,Success,2025-10-05 21:59:38,0.0
70056,50056,Wallet,254.43,Success,2025-08-25 12:59:46,0.0
70057,50057,UPI,729.4,Success,2025-11-03 18:13:34,0.0
70058,50058,UPI,451.19,Success,2026-03-17 08:24:10,0.0
70059,50059,UPI,1071.16,Success,2026-03-21 03:13:03,0.0
70060,50060,Credit Card,286.73,Success,2025-11-09 06:32:52,0.0
70061,50061,Credit Card,919.78,Failed,2026-03-23 11:08:20,0.0
70062,50062,UPI,855.54,Success,2026-04-07 14:08:52,0.0
70063,50063,Wallet,760.19,Success,2026-05-13 04:56:04,0.0
70064,50064,UPI,183.18,Success,2026-01-05 09:08:59,0.0
70065,50065,UPI,620.23,Success,2026-04-25 03:02:08,0.0
70066,50066,Cash,342.09,Failed,2026-02-07 13:29:34,0.0
70067,50067,Credit Card,646.47,Success,2025-12-06 08:47:29,0.0
70068,50068,Credit Card,307.6,Success,2025-10-17 23:13:11,0.0
70069,50069,UPI,1547.03,Success,2026-06-17 01:48:04,0.0
70070,50070,UPI,649.46,Success,2025-12-10 13:08:36,0.0
70071,50071,Debit Card,310.65,Success,2026-07-27 16:44:04,0.0
70072,50072,Wallet,696.16,Success,2026-04-12 11:39:55,0.0
70073,50073,Wallet,1011.69,Success,2026-05-09 18:16:42,0.0
70074,50074,Credit Card,445.5,Success,2026-02-26 16:30:12,0.0
70075,50075,Credit Card,151.49,Success,2026-05-31 21:51:37,0.0
70076,50076,Debit Card,865.25,Success,2026-03-25 12:43:57,0.0
70077,50077,Wallet,1184.53,Success,2026-07-21 20:34:44,0.0
70078,50078,UPI,840.69,Success,2025-08-19 08:09:10,0.0
70079,50079,Debit Card,1216.23,Success,2026-07-21 16:11:01,0.0
70080,50080,Credit Card,1463.45,Success,2026-07-30 03:18:10,0.0
70081,50081,Debit Card,422.26,Success,2026-02-03 00:20:13,0.0
70082,50082,UPI,323.06,Success,2026-03-25 13:29:20,0.0
70083,50083,UPI,563.87,Success,2026-05-20 15:36:24,0.0
70084,50084,Credit Card,795.59,Success,2026-01-23 08:51:33,0.0
70085,50085,Credit Card,835.15,Success,2026-03-16 13:16:22,0.0
70086,50086,UPI,667.75,Success,2025-12-11 04:21:27,0.0
70087,50087,UPI,296.24,Success,2026-02-24 19:25:46,0.0
70088,50088,Wallet,583.16,Success,2026-01-28 11:43:14,0.0
70089,50089,Credit Card,596.51,Success,2025-12-21 12:50:43,0.0
70090,50090,UPI,495.23,Success,2026-01-15 09:30:17,0.0
70091,50091,Debit Card,780.08,Success,2026-04-07 10:28:45,0.0
70092,50092,Credit Card,584.48,Success,2025-11-14 20:16:33,0.0
70093,50093,Credit Card,804.65,Success,2026-03-31 22:35:39,0.0
70094,50094,UPI,163.82,Success,2026-03-15 08:15:11,0.0
70095,50095,UPI,1017.98,Success,2026-01-20 03:19:09,0.0
70096,50096,Wallet,1019.94,Success,2026-01-02 12:11:38,0.0
70097,50097,Wallet,826.02,Success,2025-10-20 07:26:47,0.0
70098,50098,Credit Card,768.6,Success,2026-01-11 22:55:21,0.0
70099,50099,UPI,957.13,Success,2026-03-14 18:28:20,0.0
70100,50100,UPI,414.39,Success,2026-01-31 20:13:27,0.0
70101,50101,Debit Card,317.54,Success,2025-08-02 03:52:40,0.0
70102,50102,Cash,231.04,Success,2026-06-27 00:45:29,0.0
70103,50103,UPI,549.17,Success,2025-10-14 00:29:52,0.0
70104,50104,Wallet,669.91,Success,2025-08-18 20:08:00,0.0
70105,50105,UPI,736.12,Success,2025-08-24 10:51:44,0.0
70106,50106,Credit Card,466.79,Success,2025-08-03 04:12:28,0.0
70107,50107,Credit Card,1438.61,Success,2026-01-28 07:14:52,0.0
70108,50108,UPI,1075.66,Success,2025-10-05 03:01:40,0.0
70109,50109,UPI,1526.61,Success,2025-12-03 04:35:22,0.0
70110,50110,Debit Card,1303.62,Success,2026-05-10 13:23:21,0.0
70111,50111,UPI,737.07,Success,2026-07-13 16:14:03,0.0
70112,50112,UPI,745.55,Success,2026-06-22 15:45:24,0.0
70113,50113,UPI,482.7,Success,2025-10-25 01:08:09,0.0
70114,50114,UPI,207.92,Success,2025-12-30 05:44:17,0.0
70115,50115,Credit Card,1277.32,Success,2026-01-07 01:43:12,0.0
70116,50116,Debit Card,835.89,Failed,2026-01-08 19:40:27,0.0
70117,50117,Credit Card,1017.66,Success,2026-07-13 10:01:19,0.0
70118,50118,UPI,534.07,Success,2025-09-03 04:19:07,0.0
70119,50119,Wallet,188.0,Success,2025-08-17 21:04:58,0.0
70120,50120,Wallet,883.16,Success,2026-03-29 17:54:19,0.0
70121,50121,Debit Card,1180.48,Success,2026-01-22 12:10:03,0.0
70122,50122,Credit Card,496.98,Success,2026-03-16 07:07:41,0.0
70123,50123,Debit Card,412.18,Success,2026-07-18 18:52:11,0.0
70124,50124,UPI,986.99,Success,2025-10-07 16:44:19,0.0
70125,50125,UPI,248.95,Success,2026-04-01 22:26:46,0.0
70126,50126,UPI,864.92,Success,2025-09-05 23:37:32,0.0
70127,50127,Cash,856.76,Success,2025-08-27 01:22:06,0.0
70128,50128,Debit Card,388.32,Success,2025-09-15 20:21:45,0.0
70129,50129,Wallet,826.06,Success,2025-12-24 09:19:31,0.0
70130,50130,Wallet,946.73,Success,2025-12-17 23:54:21,0.0
70131,50131,Debit Card,519.01,Success,2025-08-15 12:36:29,0.0
70132,50132,UPI,764.1,Success,2026-02-18 04:04:54,0.0
70133,50133,UPI,927.63,Success,2026-07-30 23:16:40,0.0
70134,50134,Cash,1586.23,Success,2026-03-18 19:54:39,0.0
70135,50135,UPI,769.15,Success,2025-10-11 13:22:14,0.0
70136,50136,UPI,818.14,Success,2026-06-01 13:36:25,0.0
70137,50137,Debit Card,433.44,Success,2026-03-06 12:04:33,0.0
70138,50138,UPI,406.62,Success,2026-04-17 09:26:18,0.0
70139,50139,Credit Card,628.28,Success,2025-09-07 04:58:31,0.0
70140,50140,Credit Card,345.14,Success,2025-10-28 02:51:33,0.0
70141,50141,UPI,1235.58,Success,2026-02-16 23:55:59,0.0
70142,50142,UPI,315.54,Success,2026-07-25 22:47:29,0.0
70143,50143,UPI,1853.38,Success,2025-10-12 08:52:32,0.0
70144,50144,Credit Card,640.54,Success,2026-04-06 06:58:50,0.0
70145,50145,Credit Card,902.7,Success,2026-05-26 03:50:50,0.0
70146,50146,Debit Card,242.24,Success,2026-01-27 14:35:08,0.0
70147,50147,UPI,1281.6,Success,2025-09-25 01:30:01,0.0
70148,50148,UPI,157.94,Success,2025-08-25 03:00:43,0.0
70149,50149,UPI,750.83,Success,2026-04-26 07:13:54,0.0
70150,50150,Credit Card,761.97,Success,2026-03-31 08:39:03,0.0
70151,50151,Debit Card,784.89,Success,2026-06-26 13:28:23,0.0
70152,50152,Wallet,422.49,Success,2025-11-11 03:55:00,0.0
70153,50153,UPI,438.01,Success,2026-04-05 20:03:40,0.0
70154,50154,Debit Card,789.6,Success,2025-11-03 12:17:41,0.0
70155,50155,Credit Card,467.85,Success,2025-11-05 11:14:41,0.0
70156,50156,Debit Card,1049.75,Success,2025-12-22 19:02:48,0.0
70157,50157,Wallet,934.73,Success,2025-10-19 09:00:57,0.0
70158,50158,Credit Card,513.82,Failed,2026-04-05 01:25:34,0.0
70159,50159,Wallet,839.06,Success,2025-09-23 12:20:06,0.0
70160,50160,Credit Card,1588.39,Refunded,2026-05-18 23:46:49,1588.39
70161,50161,UPI,1772.6,Success,2025-09-01 13:50:10,0.0
70162,50162,Debit Card,284.55,Success,2026-07-13 07:17:54,0.0
70163,50163,Credit Card,294.99,Success,2026-01-17 18:24:19,0.0
70164,50164,UPI,284.45,Success,2026-01-28 00:45:03,0.0
70165,50165,Credit Card,251.33,Success,2026-03-07 15:00:20,0.0
70166,50166,UPI,821.54,Success,2026-04-29 14:39:06,0.0
70167,50167,Wallet,982.68,Success,2025-08-19 11:03:04,0.0
70168,50168,Wallet,296.28,Success,2026-02-09 17:40:54,0.0
70169,50169,Credit Card,634.71,Success,2025-10-18 08:25:21,0.0
70170,50170,UPI,1514.47,Success,2025-08-26 05:58:30,0.0
70171,50171,UPI,1254.53,Success,2026-03-14 03:12:32,0.0
70172,50172,UPI,208.2,Success,2026-07-28 04:05:05,0.0
70173,50173,Debit Card,221.72,Success,2025-12-17 15:57:28,0.0
70174,50174,Wallet,323.04,Success,2026-07-07 22:39:57,0.0
70175,50175,UPI,839.02,Success,2025-10-22 08:44:37,0.0
70176,50176,UPI,849.87,Success,2025-08-26 17:07:54,0.0
70177,50177,Debit Card,220.39,Success,2026-03-10 04:27:02,0.0
70178,50178,Debit Card,858.12,Success,2026-02-19 23:19:24,0.0
70179,50179,Wallet,397.2,Success,2026-01-26 23:32:45,0.0
70180,50180,Wallet,1330.6,Success,2026-07-12 12:36:28,0.0
70181,50181,UPI,341.76,Success,2025-09-05 14:38:07,0.0
70182,50182,Wallet,323.56,Success,2026-07-20 13:42:10,0.0
70183,50183,Credit Card,686.51,Success,2025-09-18 21:40:17,0.0
70184,50184,UPI,776.66,Success,2026-04-30 07:53:56,0.0
70185,50185,UPI,1061.71,Success,2025-09-11 21:24:12,0.0
70186,50186,UPI,272.66,Success,2026-01-06 05:33:21,0.0
70187,50187,UPI,380.7,Success,2026-06-26 08:13:38,0.0
70188,50188,UPI,557.85,Success,2025-10-06 22:06:01,0.0
70189,50189,Debit Card,443.15,Success,2026-01-29 05:51:46,0.0
70190,50190,Wallet,728.98,Success,2025-09-21 01:17:24,0.0
70191,50191,Cash,584.83,Success,2025-11-06 07:10:08,0.0
70192,50192,UPI,334.55,Success,2025-08-21 08:18:41,0.0
70193,50193,Wallet,414.13,Success,2025-08-18 02:42:23,0.0
70194,50194,UPI,882.56,Success,2026-02-06 00:07:55,0.0
70195,50195,Credit Card,688.72,Success,2025-11-24 07:41:28,0.0
70196,50196,UPI,602.34,Success,2025-08-31 05:51:45,0.0
70197,50197,Wallet,990.78,Success,2025-08-22 19:16:27,0.0
70198,50198,Credit Card,240.15,Success,2026-01-25 10:23:31,0.0
70199,50199,Wallet,281.08,Success,2026-07-25 08:15:24,0.0
70200,50200,Credit Card,563.47,Success,2026-06-25 14:44:48,0.0
70201,50201,Wallet,1051.34,Success,2026-03-27 23:05:57,0.0
70202,50202,UPI,493.43,Success,2025-09-07 20:56:52,0.0
70203,50203,UPI,968.52,Success,2025-10-15 00:35:29,0.0
70204,50204,Wallet,497.1,Success,2025-12-31 08:24:55,0.0
70205,50205,UPI,280.49,Success,2026-02-20 04:24:54,0.0
70206,50206,Cash,912.16,Success,2026-03-21 05:03:15,0.0
70207,50207,Debit Card,885.85,Success,2025-10-20 12:34:37,0.0
70208,50208,Credit Card,684.53,Success,2025-08-02 08:45:27,0.0
70209,50209,UPI,445.45,Success,2026-04-18 12:00:08,0.0
70210,50210,Debit Card,253.44,Success,2026-07-26 21:17:17,0.0
70211,50211,UPI,1191.37,Success,2026-01-12 12:36:16,0.0
70212,50212,UPI,1303.83,Success,2026-02-04 18:24:39,0.0
70213,50213,UPI,851.89,Success,2026-02-24 22:27:41,0.0
70214,50214,Credit Card,520.56,Success,2026-07-23 22:45:31,0.0
70215,50215,Cash,1567.5,Success,2026-05-10 01:33:54,0.0
70216,50216,UPI,1037.16,Success,2025-10-30 03:20:01,0.0
70217,50217,Wallet,1465.18,Success,2026-06-21 20:41:39,0.0
70218,50218,Debit Card,869.87,Success,2026-07-11 07:33:47,0.0
70219,50219,Debit Card,521.32,Success,2025-09-28 08:31:02,0.0
70220,50220,Credit Card,252.67,Success,2026-03-06 17:49:06,0.0
70221,50221,Cash,141.59,Success,2025-12-04 14:52:24,0.0
70222,50222,UPI,753.78,Success,2025-11-10 04:36:29,0.0
70223,50223,Wallet,737.99,Success,2026-03-11 00:56:40,0.0
70224,50224,Credit Card,1590.11,Success,2025-09-20 18:00:56,0.0
70225,50225,Credit Card,854.01,Success,2025-10-20 05:49:19,0.0
70226,50226,UPI,208.82,Success,2025-11-13 05:50:07,0.0
70227,50227,Wallet,1181.93,Success,2026-07-18 04:40:18,0.0
70228,50228,UPI,1315.73,Success,2026-05-27 20:29:24,0.0
70229,50229,Credit Card,850.88,Success,2025-09-02 17:40:28,0.0
70230,50230,UPI,314.06,Success,2026-04-06 11:35:36,0.0
70231,50231,Credit Card,1983.95,Success,2026-03-13 05:12:56,0.0
70232,50232,Credit Card,450.68,Success,2025-11-13 00:54:32,0.0
70233,50233,Credit Card,449.19,Success,2025-10-22 13:45:51,0.0
70234,50234,UPI,916.49,Success,2025-12-15 21:58:11,0.0
70235,50235,Wallet,646.42,Success,2026-04-07 07:10:15,0.0
70236,50236,Credit Card,853.0,Success,2025-12-02 05:25:49,0.0
70237,50237,Debit Card,319.95,Success,2026-02-06 05:17:44,0.0
70238,50238,UPI,401.55,Success,2026-03-17 03:59:50,0.0
70239,50239,Credit Card,778.88,Success,2025-11-12 11:27:45,0.0
70240,50240,Debit Card,354.81,Success,2025-08-21 18:34:46,0.0
70241,50241,Credit Card,680.0,Success,2026-01-20 01:39:47,0.0
70242,50242,Credit Card,802.27,Success,2026-02-13 17:05:43,0.0
70243,50243,UPI,595.61,Success,2025-10-23 18:44:42,0.0
70244,50244,UPI,470.27,Success,2025-11-14 15:36:18,0.0
70245,50245,Debit Card,749.57,Success,2025-09-19 11:03:18,0.0
70246,50246,Credit Card,824.61,Success,2026-04-18 15:13:33,0.0
70247,50247,Wallet,472.83,Success,2025-10-09 07:42:43,0.0
70248,50248,UPI,550.87,Success,2025-08-25 21:38:02,0.0
70249,50249,Cash,433.89,Failed,2025-10-25 13:30:40,0.0
70250,50250,UPI,329.14,Success,2026-06-04 10:47:02,0.0
70251,50251,Credit Card,815.83,Success,2025-09-12 16:44:17,0.0
70252,50252,UPI,1348.54,Success,2025-09-23 06:05:36,0.0
70253,50253,Credit Card,621.58,Success,2026-05-19 01:41:39,0.0
70254,50254,Credit Card,1243.01,Success,2026-04-11 02:48:12,0.0
70255,50255,Wallet,368.96,Success,2026-02-12 12:37:44,0.0
70256,50256,UPI,1009.73,Success,2025-08-18 18:53:15,0.0
70257,50257,UPI,561.62,Success,2026-07-08 13:27:09,0.0
70258,50258,Debit Card,431.41,Success,2025-09-02 17:32:10,0.0
70259,50259,Debit Card,366.12,Success,2026-05-28 19:42:05,0.0
