restaurant_id,restaurant_name,city,cuisine_type,restaurant_category,rating,avg_prep_time_min,avg_order_value,total_orders,is_chain
20001,Restaurant_1,Bangalore,Indian,Budget,3.9,14,336.39,8854,False
20002,Restaurant_2,Mumbai,Burgers,Mid-range,3.84,16,414.52,7146,False
20003,Restaurant_3,Mumbai,South Indian,Budget,3.6,28,211.08,4128,True
20004,Restaurant_4,Chennai,South Indian,Mid-range,4.01,28,351.7,3143,True
20005,Restaurant_5,Hyderabad,South Indian,Budget,4.12,21,284.12,1951,False
20006,Restaurant_6,Mumbai,South Indian,Premium,4.32,18,1386.71,9871,True
20007,Restaurant_7,Bangalore,Chinese,Mid-range,4.27,26,526.13,1456,False
20008,Restaurant_8,Mumbai,Pizza,Budget,4.32,22,337.19,8012,False
20009,Restaurant_9,Hyderabad,Chinese,Premium,3.2,27,1086.5,4126,False
20010,Restaurant_10,Chennai,Desserts,Premium,3.99,10,898.29,9131,False
20011,Restaurant_11,Delhi,Indian,Budget,3.6,24,189.2,1143,False
20012,Restaurant_12,Pune,Biryani,Mid-range,4.0,32,445.92,5135,False
20013,Restaurant_13,Mumbai,South Indian,Premium,4.06,13,1374.36,787,True
20014,Restaurant_14,Bangalore,Indian,Mid-range,4.09,15,565.96,5549,False
20015,Restaurant_15,Hyderabad,Burgers,Budget,3.28,22,198.22,9202,True
20016,Restaurant_16,Mumbai,Pizza,Mid-range,5.0,25,451.12,8495,False
20017,Restaurant_17,Delhi,Burgers,Budget,5.0,16,190.75,9755,False
20018,Restaurant_18,Chennai,Pizza,Mid-range,3.72,26,617.81,5403,True
20019,Restaurant_19,Mumbai,Burgers,Budget,3.5,14,204.7,3217,False
20020,Restaurant_20,Hyderabad,Desserts,Mid-range,5.0,25,523.59,4636,True
20021,Restaurant_21,Mumbai,Burgers,Mid-range,4.5,15,372.4,2701,False
20022,Restaurant_22,Chennai,Biryani,Mid-range,4.34,34,489.27,2155,False
20023,Restaurant_23,Hyderabad,Pizza,Premium,3.45,17,1364.76,113,False
20024,Restaurant_24,Pune,Indian,Mid-range,4.73,15,591.9,893,False
20025,Restaurant_25,Delhi,Desserts,Budget,3.61,17,178.27,2249,False
20026,Restaurant_26,Bangalore,Burgers,Budget,3.92,12,280.43,5248,True
20027,Restaurant_27,Pune,Desserts,Mid-range,4.62,18,514.04,6946,True
20028,Restaurant_28,Chennai,Pizza,Mid-range,3.81,29,468.43,1904,False
20029,Restaurant_29,Mumbai,Pizza,Mid-range,4.1,28,358.57,5177,True
20030,Restaurant_30,Delhi,Burgers,Mid-range,4.53,28,612.31,2128,False
20031,Restaurant_31,Hyderabad,Indian,Budget,3.46,25,280.06,4638,False
20032,Restaurant_32,Pune,Desserts,Mid-range,4.52,25,672.14,859,False
20033,Restaurant_33,Hyderabad,South Indian,Budget,4.72,27,292.47,3960,True
20034,Restaurant_34,Hyderabad,Biryani,Premium,3.97,25,1261.14,7618,False
20035,Restaurant_35,Mumbai,Chinese,Mid-range,4.55,25,322.29,1741,True
20036,Restaurant_36,Pune,South Indian,Budget,3.65,14,347.5,7291,False
20037,Restaurant_37,Chennai,Burgers,Mid-range,3.31,12,421.37,1912,False
20038,Restaurant_38,Pune,Burgers,Budget,3.11,16,249.08,1916,False
20039,Restaurant_39,Delhi,Biryani,Mid-range,4.23,29,508.76,1925,True
20040,Restaurant_40,Hyderabad,Desserts,Budget,4.2,23,245.28,3285,False
20041,Restaurant_41,Bangalore,Pizza,Mid-range,3.74,17,493.92,661,False
20042,Restaurant_42,Chennai,Desserts,Budget,4.53,10,334.19,337,True
20043,Restaurant_43,Delhi,Biryani,Mid-range,3.71,37,585.69,6078,False
20044,Restaurant_44,Delhi,Indian,Mid-range,3.44,17,354.85,9152,False
20045,Restaurant_45,Hyderabad,Biryani,Budget,3.57,39,297.73,5933,True
20046,Restaurant_46,Bangalore,Biryani,Budget,4.64,35,225.09,7567,True
20047,Restaurant_47,Hyderabad,Indian,Budget,4.38,15,207.02,2307,True
20048,Restaurant_48,Chennai,Burgers,Mid-range,3.92,19,340.02,5657,True
20049,Restaurant_49,Mumbai,Indian,Premium,3.88,12,1276.99,5103,True
20050,Restaurant_50,Chennai,Chinese,Mid-range,3.74,15,370.18,2749,True
20051,Restaurant_51,Bangalore,Biryani,Budget,2.9,35,262.67,5414,True
20052,Restaurant_52,Mumbai,Indian,Budget,3.28,11,341.02,4813,False
20053,Restaurant_53,Pune,Indian,Budget,3.94,28,322.36,5678,True
20054,Restaurant_54,Pune,Biryani,Mid-range,4.27,28,594.66,8362,True
20055,Restaurant_55,Delhi,Desserts,Budget,3.85,13,199.46,7165,True
20056,Restaurant_56,Hyderabad,Desserts,Budget,3.3,12,213.07,5715,False
20057,Restaurant_57,Pune,Pizza,Budget,4.73,15,247.96,6275,False
20058,Restaurant_58,Chennai,Burgers,Budget,3.38,12,293.23,7945,False
20059,Restaurant_59,Hyderabad,Indian,Mid-range,4.01,20,322.86,1335,False
20060,Restaurant_60,Chennai,Desserts,Mid-range,4.07,19,445.06,5042,True
20061,Restaurant_61,Hyderabad,Desserts,Budget,5.0,12,334.66,562,False
20062,Restaurant_62,Pune,Burgers,Budget,3.58,18,187.25,6490,True
20063,Restaurant_63,Mumbai,Indian,Premium,4.02,25,1294.82,3900,False
20064,Restaurant_64,Hyderabad,Indian,Budget,4.08,27,318.59,5929,True
20065,Restaurant_65,Bangalore,Indian,Budget,3.49,14,264.96,6576,False
20066,Restaurant_66,Bangalore,Desserts,Budget,4.14,24,217.62,5294,True
20067,Restaurant_67,Pune,Desserts,Budget,3.8,25,191.72,9405,False
20068,Restaurant_68,Hyderabad,Desserts,Budget,3.86,27,192.49,2940,True
20069,Restaurant_69,Pune,Pizza,Mid-range,3.67,26,519.31,151,False
20070,Restaurant_70,Delhi,Indian,Budget,4.53,13,250.79,7279,True
20071,Restaurant_71,Bangalore,Desserts,Mid-range,3.94,22,421.91,5868,False
20072,Restaurant_72,Chennai,South Indian,Mid-range,3.64,10,435.18,9607,True
20073,Restaurant_73,Pune,Chinese,Budget,3.03,11,221.32,3268,False
20074,Restaurant_74,Hyderabad,Biryani,Budget,4.85,39,152.7,7179,False
20075,Restaurant_75,Hyderabad,Biryani,Mid-range,4.03,20,517.28,5307,False
20076,Restaurant_76,Bangalore,Desserts,Premium,4.58,22,657.35,5272,False
20077,Restaurant_77,Delhi,Indian,Mid-range,4.56,23,330.19,5060,False
20078,Restaurant_78,Chennai,Biryani,Mid-range,4.17,31,655.6,3332,True
20079,Restaurant_79,Bangalore,South Indian,Budget,4.41,17,191.13,3456,True
20080,Restaurant_80,Bangalore,Burgers,Mid-range,4.57,18,388.21,4105,False
20081,Restaurant_81,Pune,Pizza,Budget,3.53,15,285.78,8083,False
20082,Restaurant_82,Mumbai,Burgers,Mid-range,4.4,12,587.83,1072,False
20083,Restaurant_83,Pune,Pizza,Budget,4.13,19,264.99,9118,False
20084,Restaurant_84,Bangalore,Burgers,Budget,3.6,17,190.34,417,True
20085,Restaurant_85,Chennai,Burgers,Budget,4.39,25,229.59,866,True
20086,Restaurant_86,Mumbai,Chinese,Mid-range,3.57,26,682.7,2578,False
20087,Restaurant_87,Delhi,Chinese,Mid-range,4.25,19,699.41,3998,False
