review_id,order_id,customer_id,restaurant_id,rating,review_text,review_timestamp
80001,50001,13068,20124,2,Food arrived late and cold,2026-06-19 22:50:21
80002,50002,13579,20488,4,"Great restaurant, would order again",2025-09-05 05:42:40
80003,50003,12934,20451,5,Excellent service and quick delivery,2026-03-13 11:28:32
80004,50004,11504,20078,4,Very good food and packaging,2026-04-05 21:35:48
80005,50005,10828,20479,5,The food arrived hot and fresh,2025-12-18 15:38:43
80006,50006,13520,20309,5,Food was fresh and tasty,2025-10-09 18:41:05
80007,50007,11568,20184,3,Nothing special but acceptable,2025-10-04 17:49:52
80008,50008,12448,20100,2,Very disappointing experience,2025-12-15 01:45:35
80009,50009,13949,20262,5,Fast delivery and good quality food,2025-12-05 02:17:23
80010,50010,11239,20229,4,Very satisfied with my order,2025-10-06 12:47:28
80011,50012,13909,20025,5,Amazing food and fast delivery,2026-06-16 20:53:51
80012,50013,12375,20029,4,Great experience and delicious food,2026-01-25 11:53:51
80013,50014,10674,20281,5,Fast delivery and good quality food,2025-12-10 00:08:11
80014,50015,12290,20258,2,Food quality was poor,2025-12-23 15:09:25
80015,50016,10970,20173,5,"Great restaurant, would order again",2026-05-09 19:32:10
80016,50017,10632,20446,3,Overall an average experience,2025-11-25 23:25:57
80017,50019,14373,20083,4,Food was fresh and tasty,2026-04-21 16:46:37
80018,50020,12963,20197,3,Food quality was average,2026-05-06 04:15:15
80019,50021,14010,20417,4,Very satisfied with my order,2025-11-15 21:41:05
80020,50022,13885,20155,5,"Great restaurant, would order again",2025-12-08 00:47:04
80021,50023,11369,20246,2,Food was not fresh,2025-09-09 21:43:09
80022,50024,14779,20122,5,Food was fresh and tasty,2026-07-18 22:39:41
80023,50025,13923,20018,2,Very disappointing experience,2025-11-12 02:29:20
80024,50026,10374,20197,4,Fast delivery and good quality food,2025-12-28 21:40:14
80025,50027,11503,20328,3,The food was decent,2026-01-19 04:56:52
80026,50028,11218,20297,5,Fast delivery and good quality food,2026-05-09 20:26:58
80027,50029,11132,20364,5,"Great restaurant, would order again",2026-07-25 23:14:07
80028,50030,11668,20403,3,Food quality was average,2025-08-21 09:53:00
80029,50031,10756,20395,5,"Great restaurant, would order again",2025-10-29 12:29:38
80030,50032,13183,20226,3,The experience was satisfactory,2026-07-24 22:15:01
80031,50033,11920,20016,4,Fast delivery and good quality food,2026-06-24 01:32:19
80032,50034,11330,20018,5,Food was fresh and tasty,2026-07-09 10:02:01
80033,50035,10343,20162,5,Food was fresh and tasty,2026-06-01 15:22:46
80034,50036,13375,20189,3,Overall an average experience,2025-09-21 18:18:09
80035,50037,10017,20332,3,The food was decent,2025-11-12 11:14:21
80036,50038,13926,20396,4,Excellent service and quick delivery,2025-09-20 00:25:05
80037,50039,12616,20154,5,The food arrived hot and fresh,2025-10-05 17:00:43
80038,50040,11724,20093,4,Amazing food and fast delivery,2025-11-14 23:15:17
80039,50041,13255,20254,5,Food was fresh and tasty,2026-06-08 21:02:14
80040,50042,14359,20073,4,Food was fresh and tasty,2025-11-21 04:58:31
80041,50043,14377,20238,2,Food was not fresh,2025-12-12 13:40:14
80042,50044,10499,20158,5,Very satisfied with my order,2026-04-13 14:15:51
80043,50045,11373,20319,3,The food was decent,2026-06-11 04:45:22
80044,50046,13375,20229,3,It was an okay meal,2025-10-27 11:51:52
80045,50047,14269,20310,4,Very good food and packaging,2025-08-12 05:24:10
80046,50048,12461,20267,4,Very good food and packaging,2025-12-11 21:42:14
80047,50049,12531,20203,5,Food was fresh and tasty,2025-12-14 05:22:10
80048,50050,12183,20416,4,Amazing food and fast delivery,2025-12-08 00:15:33
80049,50051,10159,20058,3,Average experience,2026-02-06 10:35:39
80050,50052,10621,20128,5,Very satisfied with my order,2025-12-06 13:09:02
80051,50053,10242,20428,4,Excellent service and quick delivery,2025-10-30 16:16:24
80052,50054,13260,20468,4,Really enjoyed the meal,2026-04-16 06:34:21
80053,50055,13256,20371,4,Very satisfied with my order,2025-10-08 07:57:38
80054,50056,12654,20432,2,The food was cold when it arrived,2025-08-27 09:54:46
80055,50057,12237,20059,2,Delivery was extremely slow,2025-11-04 14:04:34
80056,50058,13660,20106,3,Delivery was okay,2026-03-18 16:15:10
80057,50059,14544,20484,5,Great experience and delicious food,2026-03-22 06:10:03
80058,50060,10266,20103,3,The experience was satisfactory,2025-11-09 08:28:52
80059,50061,11434,20235,1,Would not order again,2026-03-25 22:04:20
80060,50062,11093,20366,4,Excellent service and quick delivery,2026-04-10 10:02:52
80061,50063,14695,20119,2,Would not order again,2026-05-14 01:47:04
80062,50064,13401,20015,5,The food arrived hot and fresh,2026-01-07 22:00:59
80063,50065,12302,20302,5,Really enjoyed the meal,2026-04-26 08:57:08
80064,50068,13586,20095,5,Great experience and delicious food,2025-10-18 09:12:11
80065,50069,12244,20255,2,The food was cold when it arrived,2026-06-17 02:46:04
80066,50070,11886,20261,4,Really enjoyed the meal,2025-12-13 07:04:36
80067,50071,14746,20113,1,Food was not fresh,2026-07-28 15:35:04
80068,50072,13615,20153,5,Fast delivery and good quality food,2026-04-14 00:30:55
80069,50073,13590,20483,5,Excellent service and quick delivery,2026-05-11 08:07:42
80070,50074,13786,20304,3,The food was decent,2026-02-28 21:27:12
80071,50075,10898,20476,4,Great experience and delicious food,2026-06-02 23:44:37
80072,50077,11417,20075,5,Really enjoyed the meal,2026-07-24 13:31:44
80073,50078,14689,20305,5,Very good food and packaging,2025-08-19 22:06:10
80074,50079,11872,20053,4,Food was fresh and tasty,2026-07-22 10:05:01
80075,50080,12384,20065,4,Very good food and packaging,2026-07-31 04:11:10
80076,50081,13643,20038,3,Nothing special but acceptable,2026-02-05 21:11:13
80077,50082,14828,20083,5,Fast delivery and good quality food,2026-03-25 18:20:20
80078,50083,14749,20306,5,Amazing food and fast delivery,2026-05-23 10:27:24
80079,50084,10262,20347,1,Poor packaging and bad experience,2026-01-24 21:47:33
80080,50085,11471,20120,5,Fast delivery and good quality food,2026-03-18 10:09:22
80081,50086,11211,20339,3,Delivery was okay,2025-12-11 16:15:27
80082,50087,14839,20387,5,Excellent service and quick delivery,2026-02-27 13:24:46
80083,50089,10942,20106,4,The food arrived hot and fresh,2025-12-23 20:44:43
80084,50090,12294,20452,1,Food was not fresh,2026-01-15 17:24:17
80085,50091,14753,20463,5,Very satisfied with my order,2026-04-10 09:22:45
80086,50092,14479,20158,2,Order was delayed significantly,2025-11-16 06:09:33
80087,50093,14006,20117,5,Very good food and packaging,2026-04-02 16:32:39
80088,50094,11758,20244,3,Food quality was average,2026-03-17 13:07:11
80089,50095,12625,20257,5,Amazing food and fast delivery,2026-01-21 15:16:09
80090,50097,10848,20200,4,Very good food and packaging,2025-10-20 15:23:47
